=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.02.18 18:32:07 =~=~=~=~=~=~=~=~=~=~=~=
0.02 9
0.07 9.18 97524.00
0.31 9.35 97526.00
1.03 9.84 97529.75
0.31 9.08 97528.50
0.12 10.15 97526.50
0.86 10.05 97524.75
0.59 7.90 97526.25
0.32 10.60 97527.00
0.85 9.13 97527.25
0.30 10.60 97523.00
0.37 9.91 97524.50
0.43 8.43 97521.75
0.48 9.44 97524.25
0.33 9.87 97517.75
0.40 8.35 97519.50
0.71 9.93 97520.50
0.21 11.83 97520.50
0.05 9.54 97516.00
0.39 7.72 97517.75
0.13 7.95 97515.00
0.36 8.91 97513.00
0.21 12.38 97510.25
0.49 9.86 97509.50
0.51 8.57 97512.50
0.58 7.17 97510.75
0.38 9.50 97514.25
0.58 10.94 97512.75
0.45 11.03 97519.25
0.75 9.05 97520.25
0.94 9.08 97521.25
0.25 10.35 97523.50
0.70 10.41 97517.75
0.32 9.60 97520.25
0.34 8.41 97515.75
0.63 9.94 97510.25
0.69 7.75 97504.00
0.45 8.03 97497.25
1.10 10.75 97500.50
1.33 10.24 97496.75
0.61 9.87 97497.50
1.39 10.42 97499.75
0.26 7.94 97495.75
0.53 10.09 97493.00
0.22 10.96 97490.50
0.54 10.24 97485.25
0.61 9.84 97477.75
0.40 10.70 97478.50
1.43 9.71 97471.75
0.61 11.22 97473.00
0.81 9.78 97471.75
0.21 7.81 97474.25
0.61 8.12 97469.00
0.44 8.84 97465.75
0.47 8.25 97461.75
0.97 12.65 97461.00
0.22 11.07 97456.00
0.87 9.04 97451.25
1.02 8.43 97447.00
1.25 8.91 97445.75
0.72 9.40 97447.50
0.74 11.25 97446.00
0.06 10.80 97444.25
0.20 9.07 97442.50
0.23 7.61 97438.50
0.32 7.24 97434.75
0.69 9.68 97429.75
0.82 11.91 97424.25
0.51 9.00 97426.00
1.46 9.42 97418.00
0.33 8.38 97417.00
0.24 9.53 97419.25
0.59 10.04 97417.75
0.37 9.70 97415.25
0.89 9.40 97415.25
0.33 8.28 97416.25
1.14 11.56 97418.00
0.89 8.43 97417.25
0.84 7.67 97417.00
1.32 9.87 97419.00
0.76 10.19 97420.50
0.60 10.37 97417.75
0.28 8.63 97416.00
0.50 6.16 97415.25
0.49 7.62 97416.75
0.38 10.49 97418.00
0.46 10.34 97415.25
0.31 9.85 97418.00
0.52 7.47 97421.25
0.17 6.74 97420.50
0.53 9.71 97425.25
0.27 11.00 97423.25
0.14 10.48 97420.75
0.15 9.68 97419.50
0.51 7.66 97422.00
0.18 7.05 97420.00
0.38 7.73 97421.50
0.52 8.47 97420.00
0.65 11.94 97419.00
0.21 11.68 97421.25
0.52 9.49 97417.75
0.14 6.80 97417.75
0.30 8.28 97419.75
0.51 9.86 97417.50
0.24 12.45 97415.50
0.15 11.57 97416.25
0.41 8.75 97417.25
0.28 7.17 97416.00
0.37 8.75 97417.50
0.70 12.64 97421.00
0.52 10.32 97420.75
0.22 6.77 97418.25
0.41 8.11 97421.25
0.48 10.20 97425.00
0.37 9.72 97425.75
0.35 8.71 97423.50
0.53 7.51 97424.00
0.52 9.26 97423.00
0.28 12.68 97424.75
0.38 10.69 97426.25
0.49 7.14 97426.00
0.29 6.89 97422.75
0.54 9.90 97423.00
0.28 12.29 97426.00
0.10 10.92 97423.25
0.66 9.15 97425.00
0.28 7.58 97424.00
0.73 10.21 97422.75
0.51 8.77 97422.50
0.58 8.22 97416.00
0.20 8.37 97412.50
0.21 9.11 97410.00
0.24 10.68 97407.50
0.46 8.92 97402.00
1.34 8.58 97399.75
1.35 10.79 97397.00
0.84 11.35 97393.50
0.56 11.28 97393.25
0.23 11.68 97387.75
0.21 10.19 97386.50
0.38 7.14 97382.00
0.69 8.57 97379.25
0.20 11.18 97370.75
1.46 8.15 97372.75
0.71 8.39 97369.75
0.25 8.71 97368.00
0.37 8.99 97371.50
0.54 9.02 97375.00
0.26 7.93 97373.75
0.40 7.74 97382.25
0.98 6.71 97388.50
1.82 10.83 97393.75
1.02 10.23 97394.50
0.56 8.07 97393.75
0.46 7.56 97397.50
0.59 9.67 97403.75
0.26 8.26 97408.25
0.43 9.86 97414.25
0.19 9.07 97416.75
0.93 9.74 97423.25
1.15 10.63 97425.75
0.58 8.22 97426.50
0.14 9.21 97426.50
0.08 8.08 97429.50
0.35 9.79 97433.25
1.32 7.62 97438.50
1.20 7.56 97441.00
0.10 7.21 97440.75
0.73 10.10 97443.75
0.45 11.36 97448.50
1.12 8.67 97456.75
1.24 9.08 97454.75
0.50 9.37 97457.00
0.38 10.19 97457.75
0.63 7.93 97464.25
0.57 7.72 97465.25
0.45 9.76 97474.25
1.03 8.37 97474.25
1.07 9.65 97476.00
0.42 8.66 97476.50
0.82 6.84 97480.50
1.16 9.19 97482.75
0.22 12.66 97480.00
0.99 9.11 97481.00
0.96 8.69 97482.75
0.29 9.01 97483.50
0.25 7.47 97484.00
0.18 9.67 97486.25
0.94 10.08 97487.25
0.37 9.98 97491.00
0.57 7.85 97493.25
0.38 9.91 97498.25
0.31 8.82 97501.00
0.24 7.63 97503.50
0.34 7.63 97505.00
1.51 12.42 97511.50
1.95 8.43 97514.50
0.67 7.92 97513.75
0.52 8.33 97516.75
0.30 9.88 97522.00
0.51 9.41 97523.50
0.29 7.94 97526.50
0.31 9.28 97533.25
0.49 10.49 97535.50
0.19 10.33 97537.25
0.25 11.41 97536.25
0.48 10.15 97537.25
0.55 10.06 97541.25
0.39 8.64 97539.00
0.18 6.64 97535.50
0.18 7.66 97540.25
0.47 9.03 97536.25
0.32 9.52 97537.75
0.46 10.33 97537.00
0.26 13.15 97537.50
0.78 9.65 97534.25
0.52 11.03 97534.75
0.36 9.55 97534.75
0.74 8.27 97532.75
0.13 6.08 97535.25
0.51 7.47 97537.00
0.51 8.73 97538.25
0.26 10.01 97534.00
0.58 12.51 97534.00
0.28 10.97 97534.00
0.26 10.54 97533.25
0.65 9.57 97536.50
0.30 5.82 97535.00
0.67 8.04 97532.25
0.83 10.30 97532.50
0.85 13.73 97535.25
0.48 10.36 97532.25
0.30 9.97 97536.00
0.55 8.01 97534.00
1.32 10.01 97533.25
0.64 9.36 97535.00
0.98 9.54 97541.75
0.29 9.39 97535.25
1.19 10.52 97533.00
0.59 11.36 97534.25
0.36 8.87 97540.25
1.25 8.26 97536.00
0.23 8.56 97537.50
0.05 9.36 97543.00
0.03 9.68 97542.50
0.02 9.26 97542.00
0.02 9.34 97542.50
0
